profession,location,pincode,website_name,url,domain,appearance_count,run_number,timestamp
Probate Lawyer,Austin,78701,Texas Probate Services - Austin Probate Attorney,https://gravislawtexas.com/,gravislawtexas.com,3,3,2026-04-22T07:41:16.413425
Estate Planning Attorney,Austin,78746,Hailey-Petty Law Firm,https://haileypettylaw.com/contact-us/,haileypettylaw.com,1,3,2026-04-22T07:39:16.495156
Probate Lawyer,Austin,78701,Hailey-Petty Law Firm,https://haileypettylaw.com/austin-probate-attorney/,haileypettylaw.com,4,2,2026-04-22T07:41:00.350342
Probate Lawyer,Austin,78701,A Probate Lawyer Answers - Cost-Effective Legal Info,https://www.justanswer.com/sip/Probate,justanswer.com,1,2,2026-04-22T07:41:00.350342
Probate Lawyer,Austin,78701,texas-probate-law.com,https://texas-probate-law.com/austin-probate-attorney/,texas-probate-law.com,1,4,2026-04-22T07:41:37.773827
Estate Planning Attorney,Austin,78746,Austin Estate Planning Lawyer,https://wilhelmlaw.net/services/estate-planning/,wilhelmlaw.net,2,3,2026-04-22T07:39:16.495156
Probate Lawyer,Austin,78701,Austin Probate Lawyers - Austin Wills and Trust Lawyers,https://wilhelmlaw.net/services/estate-planning/,wilhelmlaw.net,6,2,2026-04-22T07:41:00.350342
Estate Planning Attorney,Colleyville,76034,Texas Estate Planning | Wills Trusts and POA | For Texas Families,https://booklawfirm.com/,booklawfirm.com,4,1,2026-04-22T08:18:55.685912
Estate Planning Attorney,Colleyville,76034,Suze Orman Approved - MUST HAVE™ Documents,https://willandtrust.musthavedocs.com/willandtrust-go/,musthavedocs.com,1,5,2026-04-22T08:20:09.173184
Estate Planning Attorney,Colleyville,76034,Texas Landowner Law Firm,https://texaslandownerfirm.com/practice-areas/probate-estate-administration/,texaslandownerfirm.com,1,1,2026-04-22T08:18:55.685912
Estate Planning Attorney,Colleyville,76034,Fixed Fee Estate Plans,https://landing.txlegacyplanning.com/estate-planning-attorney,txlegacyplanning.com,2,3,2026-04-22T08:19:35.409515
Estate Planning Attorney,Colleyville,76034,Fort Worth Wills & Trusts - Can't Afford Huge Legal Fees?,https://estate.unbundledlegalhelp.com/estate-planning,unbundledlegalhelp.com,1,5,2026-04-22T08:20:09.173184
18 Wheeler Accident Lawyer,Dallas,75225,Dallas 18 Wheeler Accident Attorney - Call the Truck Accident Lawyer,https://injured.amarolawfirm.com/18-wheeler-accident-lawyers/,amarolawfirm.com,5,1,2026-04-22T07:45:35.696908
18 Wheeler Accident Lawyer,Dallas,75225,Texas Truck Accident Lawyers - 18-Wheeler Accident Attorneys,https://texas.reyeslaw.com/lp-texas-truck-wreck-lawyers/,reyeslaw.com,15,1,2026-04-22T07:45:35.696908
High Net Worth Divorce Lawyer,Dallas,75205,High Net Worth Divorce - Asset Division in Divorce,https://www.waltersgilbreath.com/dallas/,waltersgilbreath.com,2,3,2026-04-22T07:36:31.965224
Personal Injury Attorney,Flower Mound,75022,bblawfirmonline.com,https://bblawfirmonline.com/,bblawfirmonline.com,1,1,2026-04-22T08:17:03.784794
Personal Injury Attorney,Flower Mound,75022,Morgan & Morgan Law Firm - America's Largest Injury Firm,https://www.forthepeople.com/free-case-evaluation/get-a-lawyer/var/pmax/,forthepeople.com,3,1,2026-04-22T08:17:03.784794
Personal Injury Attorney,Flower Mound,75022,Kurt Thompson Law Group | Trusted Personal Injury Lawyer | Trusted...,https://hurtcallkurt.com/,hurtcallkurt.com,1,5,2026-04-22T08:18:27.770195
Personal Injury Attorney,Flower Mound,75022,Accident Attorney Near You | No Win - No Fee Attorneys,https://lnjury.com/auto-accident/,lnjury.com,2,2,2026-04-22T08:17:26.576089
Personal Injury Attorney,Flower Mound,75022,"Top Injury Law Firm in TX? - Angel Reyes – No Win, No Fee",https://texas.reyeslaw.com/lp-texas-car-insurance-claim-lawyers/,reyeslaw.com,36,2,2026-04-22T08:17:26.576089
Personal Injury Attorney,Flower Mound,75022,Personal Injury Lawyer | No Fee Unless We Win,https://schorrfirm.com/personal-injury/,schorrfirm.com,2,1,2026-04-22T08:17:03.784794
Business Litigation Attorney,Fort Worth,76102,Corporate and commercial law - A full range of law services,https://www.deloitte.com/nl/en/services/legal/services/legal-management-consulting.html,deloitte.com,4,4,2026-04-22T08:16:15.695114
Business Litigation Attorney,Fort Worth,76102,Find a Business Litigation Attorney in Texas | Get Legal Advice,https://www.legalzoom.com/attorneys/texas/all/business-litigation,legalzoom.com,1,5,2026-04-22T08:16:36.189719
Truck Accident Attorney,Fort Worth,76107,Texas Truck Wreck Attorneys - Truck Wreck Lawyers,https://texas.reyeslaw.com/lp-texas-truck-wreck-lawyers/,reyeslaw.com,19,1,2026-04-22T07:47:21.557141
High Net Worth Divorce Lawyer,Frisco,75033,Experts for Complex Cases | Divorce & Home Equity | Hello Divorce,https://hellodivorce.com/,hellodivorce.com,1,2,2026-04-22T08:06:27.532499
High Net Worth Divorce Lawyer,Frisco,75033,"High Net Worth Divorce - Walters Gilbreath, PLLC",https://www.waltersgilbreath.com/dallas/,waltersgilbreath.com,7,1,2026-04-22T08:06:09.732349
Probate Lawyer,Houston,77098,landing.holtsclawlaw.com,https://landing.holtsclawlaw.com/probate-attorney,holtsclawlaw.com,1,5,2026-04-22T08:13:41.807844
Truck Accident Attorney,Houston,77024,Texas Truck Wreck Attorneys | Truck Wreck Lawyers,https://texas.reyeslaw.com/lp-texas-truck-wreck-lawyers/,reyeslaw.com,10,1,2026-04-22T07:33:44.515969
Personal Injury Attorney,Houston,77005,"Top Injury Law Firm in TX? | Angel Reyes – No Win, No Fee",https://texas.reyeslaw.com/lp-texas-car-insurance-claim-lawyers/,reyeslaw.com,11,5,2026-04-22T07:45:08.061936
Commercial Litigation Attorney,Plano,75024,ABC Legal | Service Made Simple for Contract Law Firms,https://www.abclegal.com/service-simplified/contract-law-firms,abclegal.com,1,5,2026-04-22T08:02:20.697830
Commercial Litigation Attorney,Plano,75024,Corporate and commercial law - A full range of law services,https://www.deloitte.com/nl/en/services/legal/services/legal-management-consulting.html,deloitte.com,2,1,2026-04-22T08:00:13.236190
Commercial Litigation Attorney,Plano,75024,Monica Zent - ZentLaw,https://zentlawgroup.com/monica-zent/,zentlawgroup.com,1,1,2026-04-22T08:00:13.236190
18 Wheeler Accident Lawyer,San Antonio,78255,18 Wheeler Accidents Lawyers | Worksite Accident Lawyers,https://www.carabinshaw.com/,carabinshaw.com,3,1,2026-04-22T07:32:03.086279
18 Wheeler Accident Lawyer,San Antonio,78255,LAWBOSS: Car Wreck Lawyer | Injured in a Car Wreck?,https://get.lawboss.com/san-antonio-car-accident-lawyers/,lawboss.com,5,1,2026-04-22T07:32:03.086279
Truck Accident Attorney,San Antonio,78230,LAWBOSS: Car Wreck Lawyer | San Antonio Car Wreck Attorney,https://get.lawboss.com/san-antonio-car-accident-lawyers/,lawboss.com,6,5,2026-04-22T08:05:47.872466
18 Wheeler Accident Lawyer,San Antonio,78255,18-Wheeler Accident Help | Injured By A Semi Truck?,https://truckaccident.potts-law.com/,potts-law.com,1,4,2026-04-22T07:33:02.696763
18 Wheeler Accident Lawyer,San Antonio,78255,San Antonio Truck Wreck Lawyer | Expert Semi-Truck Injury Help,https://texas.reyeslaw.com/lp-texas-truck-wreck-lawyers/,reyeslaw.com,5,1,2026-04-22T07:32:03.085281
Truck Accident Attorney,San Antonio,78230,Texas Truck Accident Attorneys | Truck Accident Lawyers,https://texas.reyeslaw.com/lp-texas-truck-wreck-lawyers/,reyeslaw.com,32,1,2026-04-22T08:04:32.197310
18 Wheeler Accident Lawyer,San Antonio,78255,18 Wheeler Accident Lawyer | San Antonio Truck Attorney,https://riedpecinatriallawyers.com/lp/truck-accident-lawyer-san-antonio/,riedpecinatriallawyers.com,5,1,2026-04-22T07:32:03.086279
Truck Accident Attorney,San Antonio,78230,Lawyer truck crash | San Antonio Truck Attorney,https://riedpecinatriallawyers.com/lp/truck-accident-lawyer-san-antonio/,riedpecinatriallawyers.com,12,1,2026-04-22T08:04:32.197310
18 Wheeler Accident Lawyer,Southlake,76092,18 Wheeler Accident Lawyer - Call the Truck Accident Lawyer,https://injured.amarolawfirm.com/18-wheeler-accident-lawyers/,amarolawfirm.com,10,1,2026-04-22T08:02:47.543951
18 Wheeler Accident Lawyer,Southlake,76092,Accident & Injury Lawyers - Morgan & Morgan Law Firm,https://www.forthepeople.com/free-case-evaluation/get-a-lawyer/var/pmax/,forthepeople.com,1,5,2026-04-22T08:04:09.066668
18 Wheeler Accident Lawyer,Southlake,76092,18-Wheeler Accident Help | Injured By A Semi Truck?,https://truckaccident.potts-law.com/,potts-law.com,3,3,2026-04-22T08:03:28.753730
18 Wheeler Accident Lawyer,Southlake,76092,18-Wheeler Accident Lawyers - Texas Truck Accident Lawyers,https://texas.reyeslaw.com/lp-texas-truck-wreck-lawyers/,reyeslaw.com,23,1,2026-04-22T08:02:47.543951
Estate Planning Attorney,West Lake Hills,78733,"Wills, Trust & Estate Attorney - Elder Law Attorney, Austin, TX",https://wilhelmlaw.net/services/estate-planning/,wilhelmlaw.net,7,2,2026-04-22T08:08:29.349545
